geo_code,population,population_density_div10K,male,young,middle_age,drinking_age,population_age_avg_div100,single,family_size_avg_div10,market_income_avg_div100K,East_Asian,Southeast_Asian,West_Asian,Black,Latin_American,Aboriginal,dwelling_ownership,dwelling_value_avg_div1M,rent_price_avg_div_1K,secondary_education,postsecondary_education,in_labor_force_pct,Unemployment_rate
59350018,6780,0.07,0.44,0.11,0.10,0.41,0.59,0.44,0.23,0.34,0.03,0.02,0.01,0.01,0.01,0.04,0.76,0.39,1.04,0.12,0.49,0.40,0.07
59370005,315,NULL,0.49,0.14,0.17,0.67,0.38,0.51,0.3,0.23,0.05,0.00,0.00,0.00,0.00,0.83,0.52,NULL,NULL,0.27,0.29,0.54,0.30
59370008,8665,0.03,0.47,0.15,0.16,0.56,0.48,0.46,0.26,0.36,0.02,0.01,0.02,0.00,0.00,0.09,0.63,0.42,0.95,0.31,0.48,0.54,0.09
59370009,1710,0.06,0.50,0.12,0.20,0.76,0.43,0.22,0.28,0.58,0.04,0.01,0.02,0.00,0.00,0.02,0.96,0.57,0.00,0.27,0.63,0.56,0.08
59390006,45,NULL,0.56,0.11,0.33,1.38,0.51,0.63,0.25,NULL,0.00,0.00,0.00,0.00,0.00,0.33,1.00,NULL,NULL,0.50,0.38,0.75,0.33
59390009,7860,0.04,0.47,0.12,0.15,0.51,0.47,0.37,0.27,0.45,0.01,0.01,0.01,0.00,0.00,0.09,0.83,0.40,1.09,0.16,0.58,0.58,0.06
59390011,7545,0.02,0.51,0.22,0.22,0.66,0.40,0.41,0.27,0.42,0.02,0.01,0.01,0.00,0.00,0.07,0.73,0.36,1.01,0.29,0.56,0.70,0.09
59410017,135,NULL,0.52,0.19,0.26,0.81,0.41,0.71,0.28,NULL,0.00,0.00,0.00,0.00,0.00,0.96,0.40,NULL,NULL,0.24,0.10,0.57,0.42
59410019,5995,NULL,0.52,0.13,0.17,0.61,0.44,0.32,0.26,0.40,0.01,0.00,0.00,0.00,0.00,0.11,0.87,0.29,0.66,0.30,0.47,0.63,0.09
59410020,155,0.01,0.55,0.13,0.32,0.77,0.39,0.44,0.28,NULL,0.00,0.00,0.00,0.00,0.00,0.97,0.45,NULL,NULL,0.20,0.20,0.71,0.59
59410056,90,NULL,0.50,0.22,0.17,0.75,0.42,0.27,0.27,NULL,0.00,0.00,0.00,0.00,0.00,0.94,NULL,NULL,NULL,0.13,0.53,0.60,0.56
59410073,230,NULL,0.52,0.20,0.20,0.60,0.35,0.66,0.28,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.13,NULL,NULL,0.34,0.43,0.63,0.23
59430001,9545,NULL,0.52,0.16,0.18,0.62,0.42,0.39,0.27,0.41,0.01,0.01,0.00,0.01,0.01,0.21,0.70,0.23,0.71,0.30,0.45,0.65,0.10
59430003,430,0.07,0.52,0.20,0.13,0.48,0.29,0.50,0.37,0.23,0.00,0.00,0.00,0.00,0.00,0.98,0.45,NULL,NULL,0.23,0.11,0.48,0.30
59430008,220,0.09,0.50,0.20,0.23,0.59,0.32,0.39,0.35,NULL,0.00,0.00,0.00,0.00,0.00,0.96,0.57,NULL,NULL,0.18,0.21,0.58,0.10
59450002,1020,0.02,0.52,0.20,0.19,0.73,0.38,0.46,0.31,0.26,0.01,0.01,0.00,0.00,0.00,0.92,0.55,NULL,NULL,0.25,0.33,0.56,0.14
59470001,2875,NULL,0.51,0.14,0.19,0.81,0.44,0.41,0.27,0.39,0.01,0.02,0.01,0.00,0.00,0.29,0.73,0.20,0.73,0.27,0.39,0.68,0.07
59010004,15450,NULL,0.52,0.19,0.21,0.65,0.40,0.33,0.28,0.58,0.01,0.01,0.01,0.01,0.00,0.08,0.79,0.39,0.96,0.30,0.56,0.69,0.07
59030005,10570,0.09,0.48,0.18,0.22,0.61,0.42,0.50,0.27,0.37,0.02,0.01,0.01,0.01,0.01,0.07,0.61,0.38,0.96,0.27,0.61,0.67,0.09
59070006,8460,0.04,0.48,0.15,0.17,0.58,0.47,0.47,0.26,0.39,0.02,0.01,0.02,0.00,0.00,0.08,0.60,0.45,0.99,0.29,0.54,0.63,0.07
59090005,85,NULL,0.53,0.29,0.06,0.60,0.33,0.67,0.26,NULL,0.00,0.00,0.00,0.00,0.00,0.94,0.33,NULL,NULL,0.17,0.25,0.50,0.33
59090008,65,NULL,0.62,0.31,0.23,0.77,0.30,0.50,0.33,NULL,0.00,0.00,0.00,0.00,0.00,0.93,0.40,NULL,NULL,0.33,0.33,0.67,0.33
59090013,45,NULL,0.56,0.11,0.22,1.16,0.45,0.86,0.5,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.50,NULL,NULL,0.29,0.29,0.43,0.67
59090024,535,0.01,0.50,0.18,0.21,0.60,0.34,0.47,0.29,0.26,0.02,0.00,0.00,0.00,0.00,0.95,0.78,NULL,NULL,0.20,0.40,0.53,0.12
59090025,6070,NULL,0.55,0.16,0.17,0.57,0.46,0.41,0.28,0.35,0.01,0.01,0.01,0.00,0.01,0.10,0.78,0.40,0.87,0.21,0.43,0.55,0.08
59090028,8865,0.27,0.50,0.19,0.20,0.61,0.38,0.39,0.3,0.41,0.02,0.01,0.07,0.01,0.01,0.08,0.76,0.50,1.10,0.35,0.46,0.68,0.06
59090032,110,0.01,0.50,0.27,0.14,0.55,0.28,0.57,0.36,NULL,0.00,0.00,0.00,0.00,0.00,0.86,0.71,NULL,NULL,0.27,0.20,0.57,0.00
59090044,12110,0.28,0.49,0.22,0.20,0.59,0.37,0.32,0.32,0.31,0.01,0.03,0.73,0.00,0.00,0.01,0.72,0.58,0.80,0.37,0.35,0.66,0.10
59090045,6550,0.01,0.51,0.16,0.18,0.71,0.39,0.35,0.32,0.47,0.01,0.01,0.01,0.00,0.00,0.06,0.78,0.65,1.08,0.38,0.42,0.67,0.04
